,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Atuona,PF,77.85,light rain,-9.8,-139.0333,Pearl Resort
10,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
11,Ballina,AU,71.02,clear sky,-28.8667,153.5667,Ballina Beach Resort
15,Puerto Ayora,EC,78.55,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
21,Rikitea,PF,77.81,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
23,Mushie,CD,75.13,overcast clouds,-3.0167,16.9,hôtel Mushi
26,Baringo,KE,71.96,broken clouds,0.4667,35.9667,Jericho Guest House
33,Mar Del Plata,AR,75.83,overcast clouds,-38.0023,-57.5575,Nuevo Ostende
36,Hithadhoo,MV,81.37,few clouds,-0.6,73.0833,Pebbles Inn
37,Port Elizabeth,ZA,79.32,light rain,-33.918,25.5701,Waterford Hotel
38,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Ocean Centre Hotel
39,Nebbi,UG,73.18,clear sky,2.4783,31.0889,Gaf Apartments
41,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
44,Ailigandi,PA,81.48,broken clouds,9.2333,-78.0167,Akwadup Lodge
45,Rocha,UY,78.26,overcast clouds,-34.4833,-54.3333,Hotel Municipal
49,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
50,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
55,Cabo San Lucas,MX,75.61,few clouds,22.8909,-109.9124,Comfort Rooms
57,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
61,Tabou,CI,80.11,overcast clouds,4.423,-7.3528,hôtel le rochet
64,Praya,CV,73.94,clear sky,14.9215,-23.5087,Casa Sodadi
73,Christchurch,NZ,71.42,scattered clouds,-43.5333,172.6333,Ibis Hotel Christchurch
76,Bredasdorp,ZA,71.65,broken clouds,-34.5322,20.0403,Victoria Hotel
78,Saint-Philippe,RE,78.39,moderate rain,-21.3585,55.7679,Le Baril
83,Cape Town,ZA,72.09,scattered clouds,-33.9258,18.4232,Townhouse Hotel
86,Phan Thiet,VN,72.73,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
89,Governador Dix-Sept Rosado,BR,82.74,broken clouds,-5.4577,-37.5209,Pousada Danielly
91,Salinopolis,BR,74.03,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
93,Oussouye,SN,75.61,clear sky,12.485,-16.5469,Campement Alulum
110,Namibe,AO,74.86,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
118,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Terra Sur
124,Robertsport,LR,79.75,few clouds,6.7533,-11.3686,Nana's Lodge
130,Chuy,UY,75.74,scattered clouds,-33.6971,-53.4616,Alerces
133,Mana,GF,76.68,scattered clouds,5.6592,-53.7767,Le Samana
134,Tual,ID,82.92,overcast clouds,-5.6667,132.75,Suita
136,Adzope,CI,77.65,scattered clouds,6.1069,-3.8619,Muguet
142,Trujillo,PE,73.36,clear sky,-8.116,-79.03,Hostal Ayacucho
147,Cidreira,BR,74.59,overcast clouds,-30.1811,-50.2056,Hotel Castelo
148,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
154,Pobe,BJ,76.8,clear sky,6.9801,2.6649,Ciné variété
158,Faanui,PF,80.4,light rain,-16.4833,-151.75,Oa Oa Lodge
