,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Olafsvik,IS,64.8945,-23.7142,25.18,79,68,14.38,broken clouds
1,Bluff,NZ,-46.6,168.3333,59.92,78,25,3.89,scattered clouds
2,Husavik,IS,66.0449,-17.3389,25.79,75,100,12.59,light snow
3,Bambous Virieux,MU,-20.3428,57.7575,78.22,87,100,17.96,moderate rain
4,Tiksi,RU,71.6872,128.8694,-28.16,100,100,0.58,overcast clouds
5,Albany,US,42.6001,-73.9662,42.06,78,100,3.0,overcast clouds
6,Khatanga,RU,71.9667,102.5,-29.69,100,43,6.82,scattered clouds
7,Busselton,AU,-33.65,115.3333,59.07,72,15,14.76,few clouds
8,Atuona,PF,-9.8,-139.0333,77.85,79,30,17.85,light rain
9,Mehamn,NO,71.0357,27.8492,30.15,69,100,5.75,overcast clouds
10,Vaini,TO,-21.2,-175.2,84.36,74,75,5.75,broken clouds
11,Ballina,AU,-28.8667,153.5667,71.02,86,5,4.38,clear sky
12,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,78,20,11.5,few clouds
13,New Norfolk,AU,-42.7826,147.0587,53.71,58,58,4.0,broken clouds
14,Seydi,TM,39.4816,62.9137,21.94,54,0,3.15,clear sky
15,Puerto Ayora,EC,-0.7393,-90.3518,78.55,89,98,7.0,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,60.42,53,97,3.58,overcast clouds
17,Hobart,AU,-42.8794,147.3294,54.05,67,20,12.66,few clouds
18,Mataura,NZ,-46.1927,168.8643,67.37,57,9,2.33,clear sky
19,Camacha,PT,33.0833,-16.3333,56.62,67,40,11.5,scattered clouds
20,Jamestown,US,42.097,-79.2353,37.02,75,100,9.22,mist
21,Rikitea,PF,-23.1203,-134.9692,77.81,71,65,3.38,broken clouds
22,Staraya Toropa,RU,56.2801,31.6702,38.17,95,100,15.12,overcast clouds
23,Mushie,CD,-3.0167,16.9,75.13,79,100,2.46,overcast clouds
24,Srednekolymsk,RU,67.45,153.6833,-30.55,98,100,4.5,overcast clouds
25,Dunedin,NZ,-45.8742,170.5036,68.81,70,32,4.0,scattered clouds
26,Baringo,KE,0.4667,35.9667,71.96,37,70,5.95,broken clouds
27,Thompson,CA,55.7435,-97.8558,13.68,93,100,5.5,overcast clouds
28,Champasak,LA,14.75,106.0,62.44,82,100,1.14,overcast clouds
29,Pacific Grove,US,36.6177,-121.9166,57.24,71,0,5.75,clear sky
30,Kaniama,CD,-7.5667,24.1833,64.45,95,23,1.99,few clouds
31,Kavaratti,IN,10.5669,72.642,80.08,76,23,8.46,few clouds
32,Ossora,RU,59.2353,163.0719,-2.81,89,100,8.72,overcast clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,75.83,92,100,18.01,overcast clouds
34,Tasiilaq,GL,65.6145,-37.6368,6.96,78,100,5.39,overcast clouds
35,Hami,CN,42.8,93.45,13.86,47,0,5.5,clear sky
36,Hithadhoo,MV,-0.6,73.0833,81.37,73,12,7.45,few clouds
37,Port Elizabeth,ZA,-33.918,25.5701,79.32,76,100,5.01,light rain
38,Geraldton,AU,-28.7667,114.6,70.21,78,62,3.44,broken clouds
39,Nebbi,UG,2.4783,31.0889,73.18,36,8,4.83,clear sky
40,Sorland,NO,67.667,12.6934,35.46,60,100,7.63,overcast clouds
41,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,moderate rain
42,Vilhena,BR,-12.7406,-60.1458,73.78,93,100,1.77,moderate rain
43,Punta Arenas,CL,-53.15,-70.9167,69.91,46,0,19.57,clear sky
44,Ailigandi,PA,9.2333,-78.0167,81.48,69,77,6.6,broken clouds
